payment_order_id,payment_amount,payment_fee,payment_method,payment_status
70821096,113,1.68,ONLINE,PAID
70821136,159.6,2.39,ONLINE,PAID
70821176,60.89,0.79,ONLINE,PAID
70821261,85.9,1.29,ONLINE,PAID
70821350,80.7,1.13,ONLINE,PAID
70821456,20,0.3,ONLINE,PAID
70821496,70.4,0.99,ONLINE,PAID
70821516,57.5,0.86,ONLINE,PAID
70821763,197.6,5.34,ONLINE,PAID
70821805,211.7,5.72,ONLINE,PAID
70821849,113.6,3.07,ONLINE,PAID
70821916,185,5,ONLINE,PAID
70821958,132.6,3.58,ONLINE,PAID
70822000,93.9,1.41,ONLINE,PAID
70822012,100.3,2.71,ONLINE,PAID
70822117,67.8,0,VOUCHER_STORE,PAID
70822148,120.15,3.24,ONLINE,PAID
70822169,27.9,0.42,ONLINE,PAID
70822184,64.6,0.9,ONLINE,PAID
70822235,98.9,1.48,ONLINE,PAID
70822266,13,0.2,ONLINE,PAID
70822273,73.9,1.11,ONLINE,PAID
70822331,35.7,0.54,ONLINE,PAID
70822419,32,0.48,ONLINE,PAID
70822422,74.8,2.02,ONLINE,PAID
